Source_Name,Signif_Avg,Pivot_Energy,Flux_Density,Flux1000,Energy_Flux100,Signif_Curve,Spectral_Index,PowerLaw_Index,Flux100_300,Flux300_1000,Flux1000_3000,Flux3000_10000,Flux10000_100000,Variability_Index,CLASS1
3FGL J0207.9-3846,6.345505,604.3084,1.5364143E-12,2.7614688E-10,4.294376E-12,0.7203713,2.5441499,2.5441499,6.6734573E-09,1.6428661E-09,1.9685056E-10,4.7081998E-11,3.108051E-12,54.380207,bcu
3FGL J0210.7-5101,62.947647,385.0598,5.929958E-11,4.7403312E-09,5.1071977E-11,4.746274,2.1697106,2.303066,6.7904516E-08,1.8229374E-08,4.2686636E-09,7.0632195E-10,9.707362E-11,1444.2838,bcu
3FGL J0211.2-0649,5.2457986,1792.4617,9.33198E-14,2.872365E-10,3.1978667E-12,1.3307283,2.0994716,2.0994716,1.1813313E-09,6.204582E-10,1.936447E-10,1.03728824E-10,2.413637E-12,33.106552,bcu
3FGL J0211.7+5402,4.466302,647.4086,1.9441644E-12,3.5677192E-10,6.8116806E-12,0.16982928,2.6912782,2.6912782,1.3744864E-08,2.402856E-09,2.6209857E-10,4.6293504E-11,7.0445945E-12,41.129093,bcu
3FGL J0213.1-2720,4.056814,2218.5457,4.09339E-14,1.9733501E-10,2.1945189E-12,0.39225677,2.0887089,2.0887089,1.2256328E-09,7.974354E-10,8.7584794E-11,3.1800822E-11,2.5903493E-11,35.284737,bcu
3FGL J0214.7-5823,5.7196946,701.05194,9.18462E-13,2.3476232E-10,3.7751035E-12,0.8963657,2.5699754,2.5699754,7.1423982E-09,1.1584672E-09,1.5216581E-10,3.988412E-11,1.43304865E-11,48.161674,bcu
3FGL J0216.1-7016,5.997351,689.371,1.1037332E-12,2.7153302E-10,4.3383E-12,0.50759435,2.5650656,2.5650656,8.591846E-09,1.4254475E-09,2.1301612E-10,3.383346E-11,2.0852983E-11,49.52161,bcu
3FGL J0216.6-1019,6.141726,1049.0989,4.0922585E-13,3.4369516E-10,4.2627837E-12,1.9735377,2.328764,2.328764,4.5450657E-09,1.6669554E-09,3.1242975E-10,5.8568254E-11,3.2847453E-15,79.886894,bcu
3FGL J0217.3+6209,11.477505,860.45074,9.0234435E-12,2.2938709E-09,2.345346E-11,9.406505,2.7263994,2.4650936,5.5394573E-09,1.225201E-08,1.922907E-09,3.470662E-11,5.8308753E-12,37.680897,bcu
3FGL J0218.9+3642,13.904067,755.949,3.2007303E-12,0.000000001,1.600649E-11,2.569761,2.575742,2.575742,0.000000025,6.059172E-09,8.015848E-10,1.3684762E-10,7.4771105E-15,217.55952,bcu
3FGL J0219.0+2440,6.042451,4416.299,1.7456395E-14,3.151098E-10,3.739646E-12,0.66163766,1.8571669,1.8571669,3.5537135E-12,8.9620356E-10,1.7722089E-10,8.953166E-11,3.1606936E-11,50.463455,bcu
3FGL J0223.3+6820,8.542718,5511.476,2.07994E-14,5.8849825E-10,6.7654745E-12,0.17575753,1.9149779,1.9149779,7.702631E-09,0.000000001,4.2639262E-10,1.6252574E-10,5.5070868E-11,55.60641,bcu
3FGL J0223.5+6313,7.9180555,1153.4891,1.7871634E-12,1.2810043E-09,1.2244001E-11,4.639271,2.77602,2.47787,1.4261182E-08,0.000000006,1.0797356E-09,9.223801E-11,2.2205836E-11,51.035164,bcu
3FGL J0224.1-7941,6.960275,1613.3682,1.7339953E-13,4.0845965E-10,4.741978E-12,0.2615315,2.2289107,2.2289107,7.496177E-09,8.6110763E-10,2.895552E-10,1.1788073E-10,1.7962984E-11,57.058727,bcu
3FGL J0225.2-2602,15.464875,407.35486,1.0599091E-11,5.8268784E-10,1.06750294E-11,1.8482056,2.6634765,2.6634765,0.000000021,3.6974936E-09,4.8341586E-10,6.672678E-11,1.1782207E-15,280.5351,bcu
3FGL J0226.5-4442,9.921885,2491.2068,8.525355E-14,5.252864E-10,5.9429055E-12,1.5853723,1.9546785,1.9546785,5.1102313E-09,1.3852975E-09,1.787186E-10,1.5224727E-10,5.958577E-11,53.15254,bcu
3FGL J0228.0+2248,7.860671,1590.6692,2.584259E-13,6.13697E-10,6.8547997E-12,1.8454105,2.1206038,2.1206038,0.000000005,1.5502623E-09,5.569894E-10,1.7096924E-10,1.13884475E-11,101.45625,bcu
3FGL J0228.5+6703,4.909515,611.06744,2.7966256E-12,4.754607E-10,8.172613E-12,1.1223097,2.6189883,2.6189883,1.021061E-08,0.000000004,2.6204888E-10,8.614679E-11,2.6203009E-15,42.250294,bcu
3FGL J0228.7-3106,4.0697303,2009.8052,5.3456165E-14,2.0779496E-10,2.33109E-12,0.49405804,2.1403568,2.1403568,0.000000002,4.675943E-10,9.105294E-11,5.399229E-11,1.9924699E-11,34.773243,bcu
3FGL J0232.9+2606,4.256625,2742.3867,3.562253E-14,2.6730684E-10,2.9720824E-12,1.5872512,2.086364,2.086364,1.935956E-09,4.5045628E-10,2.0960374E-10,7.7680105E-11,1.6736407E-11,33.881287,bcu
3FGL J0241.3+6542,11.911016,2811.3247,1.4920374E-13,1.1780142E-09,1.30919355E-11,0.36494228,2.079727,2.079727,1.179665E-08,3.2338785E-09,7.882219E-10,2.2956892E-10,1.1865206E-10,33.415634,bcu
